,Log2FC,Std.Error,df,t value,Pr(>|t|),FDR,diffexpressed,delabel
RPL22,0.53269292,0.169924542,52.01613145,3.134879245,0.002825628,0.044969908,NO,NA
CSNK1A1,-0.792101822,0.2518291,47.29111849,-3.145394329,0.002866473,0.045261019,NO,NA
CSRP1,-0.694164275,0.22286435,57,-3.114738963,0.002880094,0.045261019,NO,NA
NAP1L1,0.648470824,0.208607432,56.83792534,3.108570083,0.002935252,0.045861192,NO,NA
ERP44,0.670041991,0.216320133,57,3.097455519,0.003027419,0.047029394,NO,NA
PTOV1,-0.624040344,0.201863581,57,-3.091396375,0.003080717,0.047315154,NO,NA
ARL2,-0.585080558,0.188526588,52.54072398,-3.10343789,0.003077534,0.047315154,NO,NA
TGIF1,-0.738075154,0.238809782,54.63675974,-3.090640374,0.003140342,0.048089219,NO,NA
TNIP1,0.639948203,0.20406969,38.89474395,3.135929701,0.003257269,0.049462914,NO,NA
H1-2,0.836198627,0.272888915,56.75971564,3.064245484,0.003335913,0.050515249,NO,NA
SERPINA3,-1.362677618,0.434952979,35.09925007,-3.132930878,0.003483928,0.052518899,NO,NA
CYTH2,-0.848337112,0.271899341,36.9865546,-3.120041069,0.003497374,0.052518899,NO,NA
TUBA1C,-0.732008398,0.23733729,44.67808316,-3.084253635,0.003494109,0.052518899,NO,NA
ACP5,0.973901637,0.318335738,51.62952324,3.059353758,0.003512885,0.052605696,NO,NA
FKBP11,1.019114029,0.334588605,55.9461822,3.045871893,0.003535051,0.052791403,NO,NA
BRD3,-0.90400624,0.288547912,33.98977188,-3.132950209,0.003552047,0.052899073,NO,NA
IFT122,-0.858460578,0.271255691,29.77736189,-3.164765232,0.003564054,0.052932076,NO,NA
LIMD2,1.010990119,0.327222871,40.59178255,3.089607142,0.0036105,0.053328861,NO,NA
KRT19,-1.52108083,0.496681455,47.55520596,-3.062487669,0.00360682,0.053328861,NO,NA
DUSP6,-0.765664525,0.252373961,57,-3.033849145,0.003632549,0.053508336,NO,NA
ZNF706,0.827946394,0.272983122,56.76592923,3.032958187,0.003647347,0.053580316,NO,NA
IFI30,1.256074148,0.411317139,48.21648213,3.053785094,0.003673011,0.053665666,NO,NA
H3C8,1.404786329,0.463220075,56.19918999,3.032654251,0.003664208,0.053665666,NO,NA
DHCR24,-1.329527166,0.436569219,50.45356193,-3.045398319,0.003688447,0.053745948,NO,NA
IFNAR1,0.730650284,0.240296145,50.99866062,3.04062425,0.003721634,0.053948903,NO,NA
ZKSCAN1,-0.848448325,0.275219689,39.65530379,-3.082803877,0.003722335,0.053948903,NO,NA
WIPI1,0.625145919,0.206977771,56.89742508,3.020352939,0.003777184,0.054597477,NO,NA
VAMP1,0.755049123,0.246761076,41.91969991,3.059838834,0.00385242,0.055536485,NO,NA
FAM234A,-0.892407955,0.296590976,57,-3.00888438,0.003899545,0.056066325,NO,NA
SH3KBP1,0.911596709,0.302166366,53.04304921,3.01687021,0.00391655,0.056161459,NO,NA
S100A1,-1.33988935,0.445279113,53.94485613,-3.009099938,0.003977322,0.056882011,NO,NA
DCK,0.806394396,0.268744497,57,3.000598729,0.003992128,0.056943128,NO,NA
RPL12,0.455681073,0.150518691,45.44846282,3.027405231,0.004054683,0.057683194,NO,NA
AIF1L,-0.99437316,0.329211218,46.77268966,-3.020471677,0.004081406,0.05791097,NO,NA
SCNN1A,-1.242968466,0.407354942,37.84372114,-3.051315541,0.004150346,0.058734999,NO,NA
ALDH2,0.915598451,0.306720649,55.97497522,2.985121652,0.004197499,0.058816197,NO,NA
RPLP2,0.468826174,0.155637924,46.0323388,3.012287517,0.004203045,0.058816197,NO,NA
ADGRE5,0.847491457,0.276497626,34.89318163,3.065094875,0.00418137,0.058816197,NO,NA
IQGAP3,-0.979193714,0.320982961,37.42458575,-3.050609636,0.004182445,0.058816197,NO,NA
CACYBP,-0.704510032,0.229648307,34.04371041,-3.067778038,0.004210482,0.058816197,NO,NA
UCKL1,-0.732797192,0.245854225,57,-2.980616633,0.0042239,0.058851552,NO,NA
PIM1,1.050759062,0.352812879,56.97114131,2.978233292,0.004253118,0.059030047,NO,NA
DYNLT3,-0.696742314,0.229162816,37.79090635,-3.040381179,0.004276035,0.059030047,NO,NA
OBSL1,-0.901373058,0.296205016,37.19627259,-3.043071553,0.004280719,0.059030047,NO,NA
CDK5RAP3,-0.855640761,0.283572459,42.78357269,-3.017361994,0.004282276,0.059030047,NO,NA
MYDGF,0.766791832,0.255203484,46.05658747,3.004629166,0.004291307,0.059030047,NO,NA
NSMF,-1.003320895,0.332477141,39.40894748,-3.01771392,0.004447822,0.060203601,NO,NA
HSPD1,-0.834046688,0.277944038,43.9357554,-3.000772008,0.004426375,0.060203601,NO,NA
THY1,1.307123756,0.432140735,37.83425256,3.02476404,0.004454576,0.060203601,NO,NA
RAP1GAP2,-0.833465366,0.281341035,57,-2.962473517,0.004445132,0.060203601,NO,NA
HECA,0.686518358,0.224140416,32.31349649,3.062894103,0.00439561,0.060203601,NO,NA
NAT8L,0.621945239,0.209987642,56.99300076,2.961818288,0.004453507,0.060203601,NO,NA
THBS1,0.907126336,0.302165877,43.46544283,3.002080663,0.004431768,0.060203601,NO,NA
IRX5,-1.065027287,0.352718009,38.64810479,-3.01948656,0.00446953,0.060255066,NO,NA
RPL30,0.463611072,0.15620558,53.15712193,2.967954614,0.004487138,0.060341964,NO,NA
BICDL2,-0.973608816,0.316213618,28.8463489,-3.078959164,0.004526976,0.060426744,NO,NA
CTSC,0.918014479,0.293440468,24.32479644,3.128452202,0.004517938,0.060426744,NO,NA
CCN2,1.233529289,0.415223381,51.21565752,2.970760665,0.004514332,0.060426744,NO,NA
TMEM9,-0.934876003,0.314788114,50.61049567,-2.969858016,0.004546098,0.060532532,NO,NA
RPS21,0.499994978,0.167419472,43.52579738,2.986480435,0.004620317,0.061369623,NO,NA
AKNA,0.955074771,0.321137626,46.42957511,2.974035717,0.004650224,0.061615468,NO,NA
ACTR2,0.450025732,0.152926789,56.19336022,2.942752761,0.004720465,0.062114947,NO,NA
SETD5,-0.697510561,0.231156926,34.93033942,-3.01747637,0.004733531,0.062114947,NO,NA
SELENBP1,-1.174072798,0.39776721,52.08785775,-2.951658075,0.00472979,0.062114947,NO,NA
TXNDC11,0.929297491,0.313645096,47.90824612,2.962895014,0.004733881,0.062114947,NO,NA
GATD3A,-0.886678623,0.301040299,53.79202589,-2.945381815,0.004757477,0.06227341,NO,NA
ADCY6,-0.703770643,0.237485206,46.75108762,-2.963429408,0.004773376,0.062330601,NO,NA
RPL9,0.416832715,0.139821982,40.95408774,2.98116727,0.004816174,0.062737923,NO,NA
RPL28,0.556680391,0.188249428,46.89197615,2.957142538,0.004850059,0.062876311,NO,NA
FOXP4,-0.867089634,0.293281538,47.31805318,-2.956509428,0.004840972,0.062876311,NO,NA
RPS6KA3,0.915128563,0.306066501,38.08918081,2.98996643,0.004868368,0.062914873,NO,NA
B4GALT5,-0.676428959,0.227541161,41.8802098,-2.972776249,0.00487631,0.062914873,NO,NA
ITM2B,0.794129231,0.269858233,50.33900082,2.942764508,0.004908643,0.063181247,NO,NA
ANXA1,1.043776432,0.351090692,40.89199431,2.972953873,0.004926483,0.063260257,NO,NA
TMED3,-0.943775925,0.321569026,51.51236764,-2.934909302,0.004973691,0.063715102,NO,NA
UBE2J1,0.940583691,0.322081531,55.95271026,2.920327934,0.005031983,0.064248595,NO,NA
NKX2-4,0.599200181,0.205123754,54.94509965,2.921164272,0.00505099,0.064248595,NO,NA
SCRIB,-0.877120766,0.30070422,57,-2.916888781,0.005049407,0.064248595,NO,NA
EGR1,1.392671049,0.475739755,51.69888656,2.927380011,0.005071268,0.064355102,NO,NA
THEMIS2,1.052200818,0.354575035,39.06045379,2.967498313,0.00510482,0.064629171,NO,NA
DCAF8,-0.799586118,0.274886177,57,-2.908789833,0.005164434,0.065079096,NO,NA
CAPS,-0.966895496,0.328751686,44.82641117,-2.941111906,0.005158549,0.065079096,NO,NA
H2AC8,1.012048865,0.347896682,55.71428813,2.909050068,0.005199273,0.065365748,NO,NA
UGCG,0.811424084,0.278560136,53.23572038,2.91292249,0.005223316,0.065515652,NO,NA
PSMB8,0.892248359,0.307620661,57,2.900482546,0.005284941,0.065875735,NO,NA
SMS,-0.783815151,0.26626859,41.55538314,-2.943701139,0.005288581,0.065875735,NO,NA
STT3B,0.68217922,0.233867273,50.04109602,2.916950332,0.005280074,0.065875735,NO,NA
SYVN1,0.986399329,0.333370637,37.52702527,2.958866855,0.005321716,0.06613608,NO,NA
PLXNB1,-1.096686451,0.377033924,49.60400924,-2.908720887,0.005417223,0.06716859,NO,NA
COL5A2,0.846186835,0.292920684,57,2.888791678,0.005458951,0.067223432,NO,NA
POLE4,-0.735196966,0.252991652,49.70304572,-2.906012751,0.005453417,0.067223432,NO,NA
FUCA2,0.800061392,0.272773491,41.38381522,2.933061382,0.005450238,0.067223432,NO,NA
ANXA6,0.908550885,0.314197487,54.23566125,2.891655484,0.005503682,0.067620236,NO,NA
EMP2,-0.828876364,0.28756958,57,-2.882350639,0.005557073,0.068121403,NO,NA
H1-0,-0.894497461,0.30930442,51.388283,-2.89196469,0.005600139,0.068494008,NO,NA
SARAF,0.835082153,0.288332718,49.25696691,2.896244861,0.005618482,0.068563239,NO,NA
CELSR2,-0.923683243,0.319591266,51.10420916,-2.890201772,0.005637948,0.06864583,NO,NA
RPL36AL,0.618281138,0.212752498,44.13379285,2.90610519,0.005702898,0.069194747,NO,NA
ELF3,-1.075449963,0.367896802,39.49540128,-2.923238137,0.005708631,0.069194747,NO,NA
SGK1,1.076714513,0.3750093,56.65897868,2.871167494,0.005742014,0.06944368,NO,NA
PABPC1L,-0.812110263,0.281323437,46.94881065,-2.886749399,0.005866333,0.07069509,NO,NA
TMX3,0.581620588,0.20112748,45.17882284,2.891800697,0.005871642,0.07069509,NO,NA
UNC119B,-0.639541363,0.223727111,57,-2.858577848,0.005933539,0.071123531,NO,NA
CERK,0.73006007,0.255372309,56.99277812,2.858806704,0.005930035,0.071123531,NO,NA
ACLY,-0.742817403,0.259894725,56.42399121,-2.858147281,0.005959085,0.071271712,NO,NA
PFN2,-0.847873324,0.292273539,40.49328234,-2.900958221,0.005988734,0.071468207,NO,NA
CALCOCO1,0.851439333,0.298489452,56.91650033,2.852493871,0.006036289,0.071719074,NO,NA
H2AC16,0.968395903,0.337763541,50.56766045,2.867082397,0.006025584,0.071719074,NO,NA
COL5A1,1.039063274,0.360959077,44.63189221,2.878617938,0.006110572,0.072177504,NO,NA
DOCK1,-0.944900586,0.331821406,57,-2.847617927,0.006114927,0.072177504,NO,NA
SPDYE16,0.969113517,0.339418705,53.73197864,2.855215411,0.006099878,0.072177504,NO,NA
ZNF391,-0.75476734,0.256604742,30.89903829,-2.941361623,0.006143357,0.072221146,NO,NA
ARF3,-0.756825324,0.262313174,42.0728502,-2.885197538,0.006145344,0.072221146,NO,NA
SLC35F6,-0.787452173,0.274284428,46.08664033,-2.870932849,0.006162741,0.0722685,NO,NA
AK4,-0.966006022,0.340202741,57,-2.839500999,0.006252552,0.073004964,NO,NA
SOCS3,1.242566883,0.432131395,43.16357445,2.875437646,0.006242523,0.073004964,NO,NA
YAP1,-0.725526133,0.253321052,46.03662793,-2.864057788,0.006279595,0.073162694,NO,NA
PDE4C,0.646756454,0.227540701,52.99690319,2.842376997,0.00634458,0.073760857,NO,NA
KRT28,-0.519851272,0.183500011,54.55629689,-2.832976786,0.00644999,0.074825421,NO,NA
RPL36A,0.508259856,0.179534399,52.09155134,2.830988714,0.006579392,0.076163152,NO,NA
ICAM1,0.828199337,0.289444947,41.15215992,2.861336313,0.006602191,0.076263773,NO,NA
N4BP2L2,0.581328885,0.206347469,57,2.817232927,0.006644943,0.076593948,NO,NA
HTATIP2,0.788658335,0.280315792,57,2.813463811,0.006713566,0.07689974,NO,NA
CSRNP2,-0.85167608,0.302717777,56.99968524,-2.813432653,0.006714147,0.07689974,NO,NA
MRPS21,-0.974027278,0.3459055,56.28124286,-2.815876816,0.006694323,0.07689974,NO,NA
RCOR3,-0.669538212,0.238179528,57,-2.81106532,0.006757574,0.077233503,NO,NA
RASA4,0.874879068,0.304777412,36.04584779,2.870550882,0.006817299,0.077507881,NO,NA
DNAJC4,0.826941226,0.294541628,56.93928393,2.80755298,0.006824593,0.077507881,NO,NA
H3C3,1.248072554,0.44320551,53.09492128,2.816013173,0.006810247,0.077507881,NO,NA
CNIH4,-0.77782138,0.271979721,36.39615279,-2.859850648,0.006977133,0.078791941,NO,NA
GNPTAB,0.762185379,0.272297923,57,2.799086274,0.00698138,0.078791941,NO,NA
CD24,-1.686591202,0.600424,52.35235087,-2.809000311,0.006970544,0.078791941,NO,NA
C12orf75,1.024590353,0.360403522,38.76620658,2.842897724,0.007096416,0.079670055,NO,NA
BIRC2,0.518589421,0.178728969,28.37644736,2.901540945,0.007103397,0.079670055,NO,NA
SRRM2,-0.504365711,0.180444833,56.37623553,-2.79512415,0.007079048,0.079670055,NO,NA
TRIM22,1.072238764,0.381252131,46.46188149,2.812413827,0.007181223,0.080305376,NO,NA
XBP1,1.261601329,0.449838734,49.29078449,2.804563577,0.007189753,0.080305376,NO,NA
KLRC2,0.596248426,0.213921234,57,2.787233489,0.007209533,0.080360282,NO,NA
SERPINA1,1.047545701,0.375766725,55.5311462,2.78775536,0.007252959,0.080677976,NO,NA
LRIG1,0.913077165,0.326649115,51.06896983,2.795284366,0.007287863,0.080899774,NO,NA
MAT2A,-0.662374318,0.238191543,55.92070419,-2.78084734,0.007374805,0.081697124,NO,NA
SMIM26,-0.813212908,0.285760211,34.38049947,-2.845787754,0.007417156,0.08199825,NO,NA
RNASEK,0.596171578,0.21461977,54.05548111,2.777803638,0.007508224,0.082561353,NO,NA
TRAF3IP3,0.706440411,0.251963385,43.57645295,2.803742344,0.007513908,0.082561353,NO,NA
ANKRD13A,0.764180012,0.275643411,57,2.772350007,0.007505748,0.082561353,NO,NA
F11R,-0.780432938,0.281038497,53.19766437,-2.776960977,0.00756049,0.082904682,NO,NA
HNRNPA1,0.483852438,0.174583867,55.56887204,2.771461345,0.007577292,0.082920734,NO,NA
ROCK1,0.575683626,0.208048444,57,2.767065277,0.007613593,0.083149664,NO,NA
C1S,1.170563337,0.423008266,55.65148129,2.767235137,0.007660767,0.083496183,NO,NA
ATIC,-0.834933165,0.298453424,41.52840804,-2.797532539,0.007771222,0.084529632,NO,NA
ZNF32,-0.599095622,0.217614298,57,-2.753015905,0.007907267,0.085836714,NO,NA
RAB1B,-0.514633705,0.186344636,51.21299773,-2.761730723,0.00796339,0.08627272,NO,NA
RAB4A,-0.710280596,0.258505852,56.66428373,-2.747638365,0.008035145,0.086875991,NO,NA
SRSF6,-0.695557068,0.246439837,32.5739269,-2.82242139,0.008061,0.086981566,NO,NA
HMGN1,-0.647268394,0.235850129,56.21306358,-2.744405515,0.008122628,0.087298062,NO,NA
AIDA,0.651087567,0.237307131,56.68889547,2.743649402,0.008120675,0.087298062,NO,NA
CNN2,0.812763406,0.295434357,50.83459928,2.751079508,0.008209832,0.088060217,NO,NA
PACSIN2,-0.597878498,0.215231509,40.55399073,-2.777839086,0.008249155,0.088306801,NO,NA
PARP14,0.793239289,0.283278799,34.41765258,2.800207043,0.008317144,0.088858662,NO,NA
CTHRC1,0.946205746,0.341255537,40.51574124,2.772719101,0.008361553,0.089061761,NO,NA
PKN1,-0.707398798,0.258939263,56.97278026,-2.731910142,0.008369104,0.089061761,NO,NA
OSTC,0.683385921,0.249390808,52.01579999,2.740220965,0.008393198,0.08914269,NO,NA
C3orf14,-0.830539691,0.304314739,57,-2.729212836,0.008428685,0.089301237,NO,NA
PAK4,-0.658657349,0.241384918,57,-2.728659906,0.008441164,0.089301237,NO,NA
TFDP1,-0.810151085,0.296948061,56.48643497,-2.728258541,0.00847036,0.089435089,NO,NA
USP19,-0.79305623,0.279938552,27.72291846,-2.832965395,0.008498301,0.089555194,NO,NA
CHMP7,0.687549271,0.248322822,38.47714934,2.768771982,0.008610458,0.090560576,NO,NA
DYNLL2,-0.657735629,0.239381101,44.47744892,-2.74765061,0.008637413,0.090667683,NO,NA
INPP5A,-0.782391426,0.286286873,49.85494974,-2.732893126,0.008663576,0.090766066,NO,NA
ZC3H15,0.687174713,0.253257267,57,2.713346473,0.008793581,0.091692508,NO,NA
ARL8A,-0.701059508,0.253879697,38.23035755,-2.761384683,0.008795414,0.091692508,NO,NA
RPL13,0.424630435,0.155015334,44.85698086,2.739280196,0.008802888,0.091692508,NO,NA
RPL11,0.515557987,0.190262263,55.98016948,2.709722775,0.008920383,0.092737671,NO,NA
ZNF524,-0.737317618,0.271527765,51.67445808,-2.715440974,0.00897827,0.093030323,NO,NA
ZNF888,-0.589590727,0.212443586,33.25588304,-2.775281376,0.00898295,0.093030323,NO,NA
SPIN1,-0.777782937,0.285285846,46.31002979,-2.726328512,0.00901281,0.093032643,NO,NA
RPL10A,0.468204272,0.17268568,52.90894074,2.711309188,0.009017592,0.093032643,NO,NA
ZNF138,0.706256233,0.261466336,57,2.701136381,0.009084191,0.093541216,NO,NA
ATP6V0C,-0.588561749,0.217101354,50.39139585,-2.710999902,0.009148488,0.093632108,NO,NA
CSAD,-0.821412874,0.304398318,57,-2.698480327,0.009148562,0.093632108,NO,NA
CTBP2,-0.596172492,0.221033438,57,-2.69720499,0.009179618,0.093632108,NO,NA
DDAH2,-0.659233573,0.244397229,57,-2.697385627,0.009175214,0.093632108,NO,NA
KIF1B,-0.918789381,0.338698321,49.73468317,-2.712707217,0.009141894,0.093632108,NO,NA
CD79B,0.790013917,0.289127957,40.93118992,2.732402378,0.00923955,0.094065922,NO,NA
CMTM3,0.590984793,0.21952748,57,2.6920766,0.009305481,0.094559076,NO,NA
HLA-DQB1,1.095286602,0.406998315,56.06463404,2.691133013,0.009367804,0.095013783,NO,NA
SEC24A,0.923810807,0.340849113,46.25056187,2.710321876,0.009399365,0.095155364,NO,NA
ELOA,-0.5950362,0.221539801,57,-2.685911056,0.009458888,0.09557897,NO,NA
RPL29,0.408650399,0.151352558,48.85422578,2.699990034,0.009499787,0.09560654,NO,NA
TNIK,0.821879586,0.306152815,56.98932093,2.684540357,0.009493748,0.09560654,NO,NA
CDH11,0.95329589,0.347682353,35.42474233,2.741858717,0.009514672,0.09560654,NO,NA
RPS7,0.456449979,0.169367655,49.801715,2.695024491,0.00957116,0.095995713,NO,NA
BGN,1.005456345,0.367759132,36.00535605,2.734007827,0.009642557,0.096532706,NO,NA
DUSP12,-0.53467176,0.199776342,57,-2.676351739,0.009701319,0.096941466,NO,NA
PKD1,-0.812556319,0.300656563,43.67858528,-2.702606289,0.009760731,0.097340472,NO,NA
SLC39A1,-0.605537152,0.226931117,57,-2.668374262,0.009907971,0.097340472,NO,NA
CHD4,-0.523226714,0.194276012,46.31020387,-2.69321317,0.009821417,0.097340472,NO,NA
RUSC1,-0.847128957,0.311213462,37.02852378,-2.722019005,0.009832611,0.097340472,NO,NA
MYBL2,-1.060018208,0.394996874,49.5801326,-2.68361164,0.009872681,0.097340472,NO,NA
RCN2,-0.595222369,0.223108164,57,-2.667864587,0.00992131,0.097340472,NO,NA
TFAP2A,-1.217276709,0.450368121,41.7084776,-2.702848294,0.009901266,0.097340472,NO,NA
TOM1L1,-0.930872549,0.334289372,26.23094344,-2.784631006,0.009816374,0.097340472,NO,NA
SHARPIN,-0.77266499,0.285540311,41.34504351,-2.705975163,0.00985111,0.097340472,NO,NA
EPCAM,-0.903783428,0.328590344,30.6374816,-2.75048687,0.009894955,0.097340472,NO,NA
TRMT11,-0.813860565,0.300238424,38.70025298,-2.710714216,0.009956426,0.097508046,NO,NA
FDPS,-0.766173414,0.28694131,53.12161671,-2.670139803,0.0100382,0.098131119,NO,NA
RPS12,0.497930513,0.18502471,42.90437843,2.691156832,0.010108582,0.098640781,NO,NA
TEAD2,-0.986015167,0.369422904,51.43091844,-2.669068853,0.010152164,0.098887568,NO,NA
XRCC2,-0.706659504,0.262368696,40.89957738,-2.693383448,0.010208488,0.099149681,NO,NA
HMGN2,-0.629544617,0.236229429,52.30717185,-2.664971164,0.010215755,0.099149681,NO,NA
ATN1,-0.708272917,0.266798445,57,-2.65471156,0.010271265,0.099509784,NO,NA
UPF3A,-0.700424224,0.257584753,33.37264498,-2.719199084,0.010306205,0.099607838,NO,NA
LTBR,-0.616863372,0.232263034,55.23448698,-2.655882695,0.010318237,0.099607838,NO,NA
TSTD1,-0.945223896,0.355616816,53.50952144,-2.657984252,0.010343314,0.099671938,NO,NA
CYBB,1.048923058,0.395443298,55.49691499,2.652524554,0.010397417,0.100015014,NO,NA
UPK3BL1,-0.594164072,0.224315719,56.37900464,-2.648784829,0.01045993,0.100437624,NO,NA
SLC66A3,0.69370373,0.260119823,46.2043077,2.666862224,0.010518956,0.100646864,NO,NA
ADAM15,0.343223536,0.127308292,36.97032751,2.696002998,0.010501051,0.100646864,NO,NA
PLEKHO1,0.723863816,0.272771091,51.79189573,2.653740958,0.010546321,0.100730412,NO,NA
TRABD,0.763592141,0.282924692,35.61033054,2.698923645,0.010568738,0.100766486,NO,NA
SARDH,0.538772658,0.203979302,56.79532522,2.641310427,0.010648415,0.101251874,NO,NA
PNISR,-0.601433908,0.227755014,56.98134532,-2.640705452,0.010657106,0.101251874,NO,NA
RLIM,-0.797084031,0.296585002,36.14811686,-2.687539916,0.010812414,0.102547207,NO,NA
TCF4,0.843605754,0.313471164,34.40686474,2.691174977,0.01091325,0.102961658,NO,NA
H2AC7,0.841295988,0.317598558,48.24965763,2.648928866,0.010882097,0.102961658,NO,NA
PPP2R3C,0.7327827,0.273491672,37.30104745,2.679360195,0.010912209,0.102961658,NO,NA
RPS8,0.512114578,0.193571736,47.2862948,2.645606161,0.011036636,0.103265566,NO,NA
HMGCLL1,0.566735547,0.21454883,49.10965676,2.641522431,0.011038878,0.103265566,NO,NA
NTN4,-0.99339722,0.376510977,51.36456195,-2.638428308,0.01099746,0.103265566,NO,NA
ZBTB38,0.619839965,0.235730005,57,2.629448743,0.010975224,0.103265566,NO,NA
ARHGEF1,0.756585062,0.285284411,44.57481448,2.652037869,0.011040972,0.103265566,NO,NA
